,0
310,A1 Q's Place of Peace Victorville California
311,As One Transitional Living Victorville California
312,Set Free Christian Fellowship and Discipleship Victorville Victorville California
313,Home Again Shelter Northridge California
314,San Fernando Valley Rescue Mission Northridge California
315,Harvest Home Santa Monica California
316,A Better Living Permanent Housing and Supportive Services North Hills California
317,The People Concern Access Center Santa Monica California
318,New Directions Oasis for Veteran Women Los Angeles California
319,OPCC Safe Haven Cloverfield Services Center Santa Monica California
320,Salvation Army Westwood Transitional Village Los Angeles California
321,St Joseph Center Homeless Services And Meals Venice California
322,Community House Sylmar Sylmar California
323,LAFH - Los Angeles Family Housing North Hollywood California
324,Bridge to Home Homeless Shelter Santa Clarita California
325,SPIRIT of Santa Paula Drop In Center Santa Paula 
326,Kingdom Center  - Gabriel’s House Women's Shelter Oxnard California
327,Hope of the Valley Rescue Mission Sun Valley California
328,Family Promise of Santa Clarita Valley Canyon Country California
329,24-Hour OPTCC Shelter - Family Shelter Oakland California
330,CityTeam Ministries Oakland Oakland California
331,A Safe Place - Shelter For Women - Domestic Violence Shelter Oakland California
332,Operation Dignity Emeryville California
333,Berkeley Food and Housing Project Berkeley California
334,Midway Shelter of Alameda San Leandro California
335,"Berkeley Food and Housing, North County Women's Shelter Berkeley California"
336,Berkeley Food and Housing Men's Housing Program Berkeley California
337,Women's Daytime Drop-in Center Berkeley California
338,Providence Church Shelter San Francisco California
339,MSC Shelter - SVDP San Francisco California
340,Baker Places San Francisco California
341,CityTeam San Francisco  San Francisco California
342,Holy Ghost Service Center San Francisco California
343,Harrison House Berkeley California
344,W.O.M.A.N. San Francisco California
345,Episcopal Community Services San Francisco California
346,Community Housing Partnership San Francisco California
347,Lark Inn San Francisco California
348,Compass Family Services San Francisco California
349,Tenderlion Housing Clinic - Property Management  San Francisco California
350,Mission Neighborhood Resource San Francisco California
351,Rosalie House Emergency Shelter San Francisco California
352,La Casa de Las Madres San Francisco California
353,Raphael House - Short Term Family Residential San Francisco California
354,Next Door Shelter - Episcopal Community Services San Francisco California
355,St Joseph's Family Center - Catholic Charities San Francisco California
356,Diamond Youth Shelter - Larkin Street Youth Services San Francisco California
357,Asian Women's Shelter (AWS) San Francisco California
358,Family Emergency Shelter Coalition (FESCO) Hayward 
359,FESCO - The Family Shelter Hayward California
360,South County Homeless Project Hayward California
361,"Eden I & R, Inc Hayward California"
362,Safe Harbor Shelter South San Francisco California
363,Ruby's Place Hayward Hayward California
364,Family Emergency Shelter Hayward - FESCO Shelter Hayward California
365,Nevin House - Anka Behavioral Health Inc Richmond California
366,Images on the Rise Hayward California
367,Daly City Community Service Center - Shelter Network Daly City California
368,GRIP Family Housing Program Richmond California
369,Bay Area Rescue Mission - Women and Family Shelter Richmond California
370,Bay Area Rescue Mission - Men's Shelter Richmond California
371,HOME & HOPE Homeless Assistance Burlingame California
372,LifeMoves First Step for Families San Mateo California
373,West County Interim Housing Program - Brookside Shelter Richmond California
374,Shelter Network Burlingame California
375,Trinity Center Walnut Creek California
376,Pacifica Resource Center - Shelter Network Pacifica California
377,"SHELTER, Inc. of Contra Costa Martinez California"
378,STAND Domestic Violence  - RMC Concord California
379,Anka Behavioral Health Concord California
380,SAFE Place - Northern California Family Center Martinez California
381,SIPS - Anka Behavioral Health Concord California
382,Nierika House -Anka Behavioral Health Concord California
383,Second Chance Newark CA Newark California
384,Shelter Network Redwood City - Redwood Family House Redwood City California
385,Shelter Network Menlo Park California
386,Central County Interim Housing Program - Concord Shelter Concord California
387,St Vincent De Paul Homeless Help Desk San Rafael California
388,Safe Alternatives To Violent Environments Fremont California
389,WeHOPE Shelter East Palo Alto California
390,El Concillo - Shelter Network East Palo Alto California
391,Coastside Opportunity Center El Granada California
392,Palo Alto Opportunity Center Palo Alto California
393,Heart and Home Collaborative Palo Alto California
394,The Opportunity Center Palo Alto California
395,Christian Help Center Vallejo California
396,Love-A-Child Missions Homeless Recovery Shelter Bay Point California
397,Sunrise Village Emergency Shelter Fremont California
398,Graduate House Shelter Mountain View California
399,CityTeam Ministries San Jose San Jose California
400,City Team Ministry Rescue Mission - Community Services San Jose California
401,City Team Ministry Men's Shelter San Jose California
402,Family Supportive Housing's San Jose Family Shelter  San Jose California
403,Family Promise of San Gabriel Valley San Gabriel California
404,Homeless Adult Center - Union Station  Pasadena California
405,Euclid Villa Transitional Apartments Pasadena California
406,A Meaningful Goal Housing Shelter Pasadena 
407,Centennial Place Permanent Housing Pasadena California
408,Door of Hope Pasadena California
409,HPRP Pasadena Homeless Services Pasadena California
410,Union Station Homeless Services Pasadena  California
411,Dolores Mission Los Angeles California
412,Volunteers of America Homeless Support Services - Family Solution Centers (FSC) El Monte California
413,Back To Life Community Living House Transitional Housing Pasadena California
414,ABL My Family House Pasadena California
415,El Puente Bridge Housing Los Angeles California
416,Bell Shelter - Salvation Army Bell California
417,Downtown Women's Center Los Angeles California
418,Emmanuel Baptist Rescue Mission Los Angeles California
419,Los Angeles Mission Los Angeles California
420,Union Rescue Mission Los Angeles California
421,The Midnight Mission Los Angeles California
422,The People Concern Los Angeles California
423,Good Shepherd Center for Homeless Women Los Angeles California
424,Zahn Memorial Center - Salvation Army Los Angeles California
425,Casa Azul Shelter Los Angeles California
426,Ascencia - Shelter and Services Glendale California
427,Glendale YWCA Domestic Violence Project Glendale California
428,Angel's Flight Youth Shelter Los Angeles California
429,Salvation Army Glendale Chester Village For Homeless Families Glendale California
430,New Life Global Development - For Homeless Veterans Altadena  California
431,HPRP Huntington Park - Homeless Services Huntington Park California
432,Salvation Army Hope Harbor Los Angeles Los Angeles California
433,Nancy Painter Home Transitional Housing For Women Glendale California
434,Ella's Foundation Homeless Services Los Angeles California
435,East San Gabriel Valley Coalition For The Homeless Hacienda Heights California
436,PATH Hollywood Los Angeles California
437,Union Station Homeless Services - Family Solution Centers (FSC) Duarte California
438,Salvation Army The Way In Drop In Shelter For Youth Los Angeles California
439,Los Angeles Youth Network Los Angeles  California
440,Ollie house Downey California
441,Good Seed Shelter - Transition Age Youth Los Angeles California
442,Friends Helping Friends LA Transitional Housing Los Angeles California
443,A Bridge Home Imperial Los Angeles California
444,Shields for Families - Family Solution Centers (FSC) Lynwood California
445,City of Refuge Rescue Mission Personal Good Service Los Angeles California
446,WLCAC Homeless Access Center Watts California
447,Gardner Street Women’s Bridge Housing Center Los Angeles California
448,Jordan's Transitional Shelter Compton California
449,Sanctuary of Hope Los Angeles California
450,Jenesse Center Los Angeles California
451,"Jenesse Center, Inc. - Domestic Violence Intervention Program Los Angeles California"
452,Good Seed Shelter Los Angeles Los Angeles California
453,Family Promise of the Verdugos Burbank California
454,At The Fountain Transitional Living INC Bellflower California
455,At The Fountain Transitional Living COMPTON California
456,Santa Ana Armory Cold Weather Shelter Fullerton California
457,GRCN Connecting Communities Carson California
458,First Southern Baptist  Buena Park California
459,First Christian Church Hot Meal Program Fullerton California
460,Women’s Transitional Living Center Fullerton California
461,St. Anne's Service Intensive Transitional Home Diamond Bar California
462,Casa Youth Shelter Los Alamitos California
463,Precious Life Shelter Los Alamitos California
464,H.I.S. House (Homeless Intervention  Shelter) Placentia California
465,Long Beach Rescue Mission Services For Women and Children Lydia House Long Beach California
466,Illumination Foundation Stanton Multi-Service Center Stanton California
467,Long Beach Rescue Mission Samaritan House and Services for Men Long Beach California
468,Via Esperanza - Pathways of Hope Anaheim California
469,The Good Seed - Long Beach Long Beach California
470,Beyond Shelter - Homeless Services Long Beach California
471,Inland Valley Hope Partners - Our House Shelter   Pomona California
472,New Image Emergency Shelter Long Beach 
473,Doors Of Hope Women's Shelter Wilmington California
474,Beacon Light Mission Wilmington California
475,Los Angeles Shelter for Homeless and Pregnant Women and Girls LOS ANGELES California
476,Salvation Army Anaheim Emergency Shelter Anaheim California
477,Thomas House Family Shelter Garden Grove California
478,Santa Ana Lakewood Housing Coalition Anaheim California
479,Casa Teresa Orange California
480,American Family Housing Midway City California
481,House of Hope Inc. San Pedro California
482,Shawl House San Pedro California
483,"The Women's Transitional Living Center, Inc. Orange California"
484,Harbor Rose Lodge San Pedro California
485,Colette's Children's Home Huntington Beach California
486,WISEPlace - For Women Santa Ana California
487,Grandma's House of Hope - For Women and Children Santa Ana California
488,Grandma's House of Hope Santa Ana California
489,Mercy House Santa Ana California
490,Santa Ana Hospitality House - Salvation Army Santa Ana California
491,Orange County Catholic Worker - Isaiah House Santa Ana California
492,Santa Ana Armory Cold Weather Shelter Santa Ana California
493,Orange County Rescue Mission Tustin California
494,Tustin Temporary Emergency Shelter Tustin California
495,StandUp For Kids  Irvine California
496,Human Options - Emergency Shelter Women Irvine California
497,Belinda's Place Lakeside California
498,East County Transitional Living Center El Cajon California
499,Anthony's House Spring Valley California
500,Urban Street Angels at Mission Gathering Church San Diego 
501,San Diego Residential Substance Abuse Recovery San Diego California
502,Residential Treatment Recovery Housing San Diego California
503,San Diego Maternity Shelter San Diego California
504,South Bay Community Services Chula Vista California
505,"The Salvation Army, Sierra Del Mar Division Homeless Outreach San Diego California"
506,Cortez Hill Family Center San Diego California
507,San Diego Travelers Aid Society San Diego California
508,St. Vincet de Paul Village San Diego California
509,Rachel's Night Shelter For Women - Catholic Charities San Diego California
510,Catholic Charities Diocese of San Diego San Diego California
511,Nueva Vida Haven Emergency Shelter for Women and Children San Diego California
512,San Diego Rescue Mission Men's Center Long Term San Diego California
513,New Resolve Residential Program Transitional Substance Abuse Program Escondido California
514,Hidden Valley House  Escondido California
515,Merleâ€™s Place Transitional Housing San Diego California
516,Inland Service Center Escondido California
517,Tikkun Home Temporary Emergency Shelter Women Escondido California
518,Escondido Family Services Salvation Army Escondido California
519,Build Futures Huntington Beach California
520,Off The Streets - Huntington Beach Huntington Beach California
521,Robyne's Nest Huntington Beach California
522,Settlement House Corona California
523,Corona Norco Rescue Mission Corona California
524,Catholic Charities Ontario Ontario California
525,Friendship Shelter Laguna Beach California
526,Foothill Family Shelter Upland California
527,Laura's House Ladera Ranch California
528,Good News Rescue Mission Redding California
529,P.A.T.H. Homeless Outreach Center Red Bluff California
530,ATCAA Jackson California
531,Don Brown Shelter - Anka Behavioral Health Antioch California
532,Shepherd's Gate - Brentwood Brentwood California
533,Shepherd's Gate - Livermore Livermore California
534,"Mission Solano Rescue Mission, Inc Fairfield  California"
535,Tri-Valley Haven For Women Livermore California
536,God's Love Outreach Ministries Livermore California
537,Emerson House - Transitional Housing TRACY California
538,Opportunity House Vacaville California
539,Visionary Homes San Bernardino California
540,San Bernardino Salvation Army Corps   Highland 
541,Time for Change Foundation for Homeless Women and Children San Bernardino California
542,Central City Lutheran Mission San Bernardino California
543,Guided Steps Transitional Homes San Bernardino California
544,Operation Grace San Bernardino California
545,Veronica's Home of Mercy San Bernardino California
546,Homeless Services Center Santa Cruz California
547,Pajaro Valley Shelter Services Watsonville California
548,The Salvation Army Watsonville CA Watsonville California
549,Pajaro Rescue Mission Watsonville California
550,Community Solutions Transitional Housing Program (THP) Morgan Hill California
551,HomeFirst Boccardo Family Living Center San Jose California
552,La Isla Pacifica Shelter For Women and Children Gilroy California
553,"County of Santa Clara, Office of Supportive Housing San Jose California"
554,Community Homeless Solutions Marina California
555,Asian Women's Home San Jose California
556,Sacred Heart Community Services San Jose California
557,United States Mission Transitional Housing San Jose San Jose California
558,InnVision: Cecil White Center San Jose California
559,Montgomery Street Inn Shelter San Jose California
560,Heritage Home Shelter - CityTeam Ministries San Jose California
561,HomeFirst Program San Jose San Jose California
562,Casa de Clara San Jose Catholic Worker San Jose California
563,Salvation Army Emmanuel House San Jose California
564,Natividad Emergency Shelter Salinas California
565,"Victory Mission, Inc. Salinas California"
566,Seaside Women's Shelter Seaside California
567,Next Door Solutions to Domestic Violence San Jose California
568,Commercial Street Inn San Jose California
569,InnVision: Georgia Travis Center San Jose California
570,Arcata House Arcata California
571,Eureka Mission Men's Emergency Overnight Shelter Eureka California
572,Women and Children's Emergency Overnight Shelter Eureka California
573,YSB Our House Shelter Eureka California
574,40 Prado Road San Luis Obispo California
575,Central Coast Rescue Mission Substance Abuse And Homeless Services Santa Maria California
576,Santa Maria Emergency Shelter Campus Santa Maria California
577,Auburn Temporary Homeless Shelter Auburn California
578,Rancho Cordova HART Rancho Cordova California
579,Hospitality House Grass Valley California
580,Volunteers of America Housing and Shelter Services Sacramento Sacramento California
581,Volunteers of America - Open Arms Sacramento California
582,Next Move Sacramento Area Emergency Housing Center Sacramento California
583,The Mission At Kern County Bakersfield California
584,Bakersfield Homeless Center Bakersfield California
585,Transitional Housing Center Bakersfield Bakersfield California
586,California Veterans Assistance  Bakersfield Bakersfield California
