,Year,State,Number of CoCs,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families
15,2017,IL,20,10798,8541,2257,6894,4759,2135,3904,3782,122
16,2017,IN,2,5438,4869,569,3623,3082,541,1815,1787,28
17,2017,KS,5,2287,1942,345,1423,1083,340,864,859,5
18,2017,KY,3,4025,3298,727,3032,2386,646,993,912,81
19,2017,LA,8,3305,2330,975,2559,1647,912,746,683,63
20,2017,MA,15,17565,16574,991,6267,5288,979,11298,11286,12
21,2017,MD,16,7247,5511,1736,5077,3509,1568,2170,2002,168
22,2017,ME,1,2280,2100,180,1352,1244,108,928,856,72
23,2017,MI,21,9051,8028,1023,5628,4715,913,3423,3313,110
24,2017,MN,10,7668,6560,1108,3899,2892,1007,3769,3668,101
25,2017,MO,8,6037,4885,1152,3768,2770,998,2269,2115,154
26,2017,MP,1,672,24,648,208,11,197,464,13,451
27,2017,MS,3,1472,753,719,1100,452,648,372,301,71
28,2017,MT,1,1529,985,544,987,633,354,542,352,190
29,2017,NC,12,8962,6511,2451,6044,4129,1915,2918,2382,536
30,2017,ND,1,1089,758,331,832,650,182,257,108,149
31,2017,NE,3,2501,2381,120,1698,1578,120,803,803,0
32,2017,NH,3,1456,1282,174,776,638,138,680,644,36
33,2017,NJ,16,8536,7122,1414,5433,4038,1395,3103,3084,19
34,2017,NM,2,2482,1686,796,1865,1147,718,617,539,78
35,2017,NV,3,7833,3255,4578,7281,2721,4560,552,534,18
36,2017,NY,26,89503,84948,4555,37390,32890,4500,52113,52058,55
37,2017,OH,9,10095,8786,1309,6688,5494,1194,3407,3292,115
38,2017,OK,8,4199,3084,1115,2824,1992,832,1375,1092,283
39,2017,OR,7,13953,5986,7967,10434,4293,6141,3519,1693,1826
40,2017,PA,16,14138,12340,1798,8271,6529,1742,5867,5811,56
41,2017,PR,2,3525,1013,2512,3141,800,2341,384,213,171
42,2017,RI,1,1180,1111,69,802,733,69,378,378,0
43,2017,SC,4,3916,2415,1501,2896,1667,1229,1020,748,272
44,2017,SD,1,943,772,171,611,452,159,332,320,12
45,2017,TN,10,8309,5544,2765,6137,3883,2254,2172,1661,511
46,2017,TX,11,23548,15055,8493,16708,8714,7994,6840,6341,499
47,2017,UT,3,2852,2574,278,1882,1604,278,970,970,0
48,2017,VA,16,6067,5059,1008,4028,3049,979,2039,2010,29
49,2017,VI,1,381,74,307,369,62,307,12,12,0
50,2017,VT,2,1225,1091,134,697,600,97,528,491,37
51,2017,WA,7,21112,12521,8591,14781,6733,8048,6331,5788,543
52,2017,WI,4,5027,4687,340,2645,2317,328,2382,2370,12
53,2017,WV,4,1309,1121,188,1032,860,172,277,261,16
54,2017,WY,1,873,510,363,622,383,239,251,127,124
55,2017,Total,399,550996,360867,190129,366585,193144,173441,184411,167723,16688
0,2018,AK,2,2016,1707,309,1434,1173,261,582,534,48
1,2018,AL,8,3434,2424,1010,2570,1693,877,864,731,133
2,2018,AR,7,2712,1455,1257,2280,1081,1199,432,374,58
3,2018,AZ,3,9865,5799,4066,7259,3354,3905,2606,2445,161
4,2018,CA,43,129972,40429,89543,109008,23635,85373,20964,16794,4170
5,2018,CO,3,10857,6528,4329,7607,4302,3305,3250,2226,1024
6,2018,CT,2,3976,3395,581,2280,1699,581,1696,1696,0
7,2018,DC,1,6904,6304,600,3770,3170,600,3134,3134,0
8,2018,DE,1,1082,989,93,708,615,93,374,374,0
9,2018,FL,27,31030,17637,13393,21443,10686,10757,9587,6951,2636
10,2018,GA,9,9499,5900,3599,6943,3557,3386,2556,2343,213
11,2018,GU,1,854,127,727,209,22,187,645,105,540
12,2018,HI,2,6530,3055,3475,4131,1215,2916,2399,1840,559
13,2018,IA,3,2749,2508,241,1711,1491,220,1038,1017,21
14,2018,ID,2,2012,1289,723,1297,772,525,715,517,198
15,2018,IL,20,10643,8701,1942,6752,4876,1876,3891,3825,66
16,2018,IN,2,5258,4679,579,3776,3205,571,1482,1474,8
17,2018,KS,5,2216,1859,357,1443,1097,346,773,762,11
18,2018,KY,3,3688,2820,868,2735,1956,779,953,864,89
19,2018,LA,7,3059,1994,1065,2540,1502,1038,519,492,27
20,2018,MA,15,20068,19083,985,6811,5828,983,13257,13255,2
21,2018,MD,16,7144,5380,1764,4914,3382,1532,2230,1998,232
22,2018,ME,1,2516,2418,98,1450,1359,91,1066,1059,7
23,2018,MI,21,8351,7452,899,5209,4390,819,3142,3062,80
24,2018,MN,10,7243,6122,1121,3993,3019,974,3250,3103,147
25,2018,MO,8,5883,4669,1214,3776,2634,1142,2107,2035,72
26,2018,MP,1,1044,22,1022,357,22,335,687,0,687
27,2018,MS,3,1352,731,621,1024,461,563,328,270,58
28,2018,MT,1,1405,1032,373,983,682,301,422,350,72
29,2018,NC,12,9268,6818,2450,6451,4521,1930,2817,2297,520
30,2018,ND,1,542,494,48,467,419,48,75,75,0
31,2018,NE,3,2421,2277,144,1745,1608,137,676,669,7
32,2018,NH,3,1450,1296,154,835,693,142,615,603,12
33,2018,NJ,16,9398,7775,1623,6048,4470,1578,3350,3305,45
34,2018,NM,2,2551,1755,796,1949,1231,718,602,524,78
35,2018,NV,3,7544,3305,4239,7058,2873,4185,486,432,54
36,2018,NY,26,91897,87603,4294,39827,35562,4265,52070,52041,29
37,2018,OH,9,10249,8934,1315,6929,5733,1196,3320,3201,119
38,2018,OK,8,3871,2680,1191,2823,1848,975,1048,832,216
39,2018,OR,7,14476,5551,8925,11139,4027,7112,3337,1524,1813
40,2018,PA,16,13512,11768,1744,8163,6449,1714,5349,5319,30
41,2018,PR,2,3182,670,2512,2921,580,2341,261,90,171
42,2018,RI,1,1101,1050,51,747,698,49,354,352,2
43,2018,SC,4,3933,2589,1344,3082,1968,1114,851,621,230
44,2018,SD,1,1159,874,285,836,598,238,323,276,47
45,2018,TN,10,7883,5028,2855,6139,3853,2286,1744,1175,569
46,2018,TX,11,25310,14776,10534,19199,8917,10282,6111,5859,252
47,2018,UT,3,2876,2456,420,1904,1486,418,972,970,2
48,2018,VA,16,5975,5060,915,3928,3066,862,2047,1994,53
49,2018,VI,1,486,179,307,415,108,307,71,71,0
50,2018,VT,2,1291,1209,82,780,711,69,511,498,13
51,2018,WA,6,22304,11683,10621,16424,6519,9905,5880,5164,716
52,2018,WI,4,4907,4525,382,2740,2383,357,2167,2142,25
53,2018,WV,4,1243,1060,183,1021,842,179,222,218,4
54,2018,WY,1,639,440,199,434,299,135,205,141,64
55,2018,Total,398,552830,358363,194467,372417,194340,178077,180413,164023,16390
0,2019,AK,2,1907,1634,273,1384,1118,266,523,516,7
1,2019,AL,8,3261,2070,1191,2519,1429,1090,742,641,101
2,2019,AR,5,2717,1302,1415,2303,972,1331,414,330,84
3,2019,AZ,3,10007,5475,4532,7538,3099,4439,2469,2376,93
4,2019,CA,44,151278,42846,108432,128777,25323,103454,22501,17523,4978
5,2019,CO,3,9619,7431,2188,7263,5228,2035,2356,2203,153
6,2019,CT,2,3033,2577,456,2100,1648,452,933,929,4
7,2019,DC,1,6521,5913,608,3875,3267,608,2646,2646,0
8,2019,DE,1,921,826,95,565,489,76,356,337,19
9,2019,FL,27,28328,15852,12476,21265,9953,11312,7063,5899,1164
10,2019,GA,9,10443,6563,3880,7913,4169,3744,2530,2394,136
11,2019,GU,1,875,111,764,258,28,230,617,83,534
12,2019,HI,2,6412,2772,3640,4420,1234,3186,1992,1538,454
13,2019,IA,3,2315,2127,188,1574,1393,181,741,734,7
14,2019,ID,2,2315,1330,985,1516,831,685,799,499,300
15,2019,IL,19,10199,8310,1889,6513,4719,1794,3686,3591,95
16,2019,IN,2,5471,4829,642,3783,3170,613,1688,1659,29
17,2019,KS,5,2381,1906,475,1742,1284,458,639,622,17
18,2019,KY,3,4079,3300,779,3073,2352,721,1006,948,58
19,2019,LA,7,2941,1967,974,2416,1461,955,525,506,19
20,2019,MA,15,18471,17642,829,6259,5439,820,12212,12203,9
21,2019,MD,16,6561,5213,1348,4652,3437,1215,1909,1776,133
22,2019,ME,1,2106,2011,95,1232,1140,92,874,871,3
23,2019,MI,21,8575,7913,662,5212,4616,596,3363,3297,66
24,2019,MN,10,7977,6324,1653,4586,3137,1449,3391,3187,204
25,2019,MO,8,6179,5203,976,4173,3288,885,2006,1915,91
26,2019,MP,1,1807,20,1787,423,18,405,1384,2,1382
27,2019,MS,3,1184,698,486,963,479,484,221,219,2
28,2019,MT,1,1357,1012,345,947,656,291,410,356,54
29,2019,NC,12,9314,7046,2268,6867,4889,1978,2447,2157,290
30,2019,ND,1,557,545,12,377,374,3,180,171,9
31,2019,NE,3,2365,2255,110,1715,1608,107,650,647,3
32,2019,NH,3,1396,1247,149,812,667,145,584,580,4
33,2019,NJ,16,8862,7380,1482,5895,4438,1457,2967,2942,25
34,2019,NM,2,3241,1982,1259,2464,1274,1190,777,708,69
35,2019,NV,3,7169,3362,3807,6614,2857,3757,555,505,50
36,2019,NY,27,92091,88044,4047,42113,38074,4039,49978,49970,8
37,2019,OH,9,10345,8838,1507,7041,5652,1389,3304,3186,118
38,2019,OK,8,3944,2707,1237,3063,1957,1106,881,750,131
39,2019,OR,7,15876,5734,10142,12354,4194,8160,3522,1540,1982
40,2019,PA,16,13199,11569,1630,8426,6824,1602,4773,4745,28
41,2019,PR,2,2535,635,1900,2341,511,1830,194,124,70
42,2019,RI,1,1055,984,71,730,663,67,325,321,4
43,2019,SC,4,4172,2455,1717,3318,1875,1443,854,580,274
44,2019,SD,1,995,761,234,725,504,221,270,257,13
45,2019,TN,10,7467,4869,2598,5637,3519,2118,1830,1350,480
46,2019,TX,11,25848,14626,11222,19611,8663,10948,6237,5963,274
47,2019,UT,3,2798,2390,408,1921,1516,405,877,874,3
48,2019,VA,16,5783,4924,859,3666,2838,828,2117,2086,31
49,2019,VI,1,314,82,232,314,82,232,0,0,0
50,2019,VT,2,1089,975,114,681,569,112,408,406,2
51,2019,WA,6,21577,12020,9557,15985,7095,8890,5592,4925,667
52,2019,WI,4,4538,4243,295,2545,2263,282,1993,1980,13
53,2019,WV,4,1397,1149,248,1149,919,230,248,230,18
54,2019,WY,1,548,423,125,437,329,108,111,94,17
55,2019,Total,397,567715,356422,211293,396045,199531,196514,171670,156891,14779
