Index,Name,Address,Latitude,Longitude
37,Baltimore Outreach Services Emergency Shelter  Baltimore Maryland,"701 South Charles Street Baltimore, Maryland 21230",39.28074646,-76.6144561
38,Beans and Bread Outreach Center Baltimore Maryland,"400 S. Bond Street Baltimore, Maryland 21231",39.286296,-76.595761
39,Bridges To Housing Stability - Family Housing Assistance Columbia Maryland,"9520 Berger Road, Suite 311 Columbia, Maryland 21046",39.1745262,-76.8420409
40,Helping Up Mission Baltimore Maryland,"1029 East Baltimore St Baltimore, Maryland 21202",39.2904161,-76.602077
41,Karis Home Baltimore Maryland,"1228 E. Baltimore Street Baltimore, Maryland 21202",39.29143524,-76.6000366
42,Baltimore Rescue Mission Baltimore Maryland,"4 N Central Ave Baltimore, Maryland 21202",39.2917571,-76.5999011
43,"Helping Other People through Empowerment, Inc. Baltimore Maryland","1426 E. Fairmount Avenue Baltimore, Maryland 21231",39.2922554,-76.59759521
44,Women Affairs of Almumtahinah Home Inc(AMH) Baltimore Maryland,"P.O.BOX 1462 Baltimore, Maryland 21203",39.29000092,-76.61000061
45,"Bea Gaddy's Family Center, Inc. Baltimore Maryland","425 N Chester St Baltimore, Maryland 21231",39.2961823,-76.58742
46,Bea Gaddy Family Center Homeless Services Baltimore Maryland,"425 North Chester Street Baltimore, Maryland 21231",39.29618073,-76.5875778
47,Mi Casa Su Casa Supportive Housing Program Baltimore Maryland,"411 Millington Ave. Baltimore, Maryland 21229",39.28106308,-76.65660858
48,Maryland Center for Veterans Education and Training Baltimore Maryland,"301 North High St Baltimore, Maryland 21202",39.293697,-76.60626
49,My Sister's Place Baltimore Maryland,"123 W. Mulberry Street Baltimore, Maryland 21201",39.29399109,-76.61747742
50,Our Daily Bread Baltimore Maryland,"411 Cathedral Street Baltimore, Maryland 21201",39.29473114,-76.6166763
51,Pleasant Housing Supportive Housing Baltimore Maryland,"10 N. Gilmor Street Baltimore, Maryland 21223",39.28885651,-76.64267731
52,Code Blue Shelter Baltimore - Weinberg Housing and Resource Center Baltimore Maryland,"620 Fallsway Baltimore, Maryland 21202",39.2974088,-76.6106194
53,Bon Secours Women's Resources And Day Shelter Baltimore Maryland,"10 North Pulaski Street Baltimore, Maryland 21223",39.28846741,-76.6503677
54,Project PLASE Main Office Baltimore Maryland,"3601 Old Frederick Road Baltimore, Maryland 21229",39.2832494,-76.6767739
55,Westside Emergency Men's Shelter Catonsville Maryland,"55 Wade Ave Catonsville, Maryland 21228",39.26686096,-76.7221069
56,Sarah's Hope Mount Street Baltimore Maryland,"1114 N Mount St Baltimore, Maryland 21217",39.3018159,-76.6451533
57,Turnaround Inc. - Domestic Violence Shelter Baltimore Maryland,"1800 N Charles St,  #404 Baltimore, Maryland 21201",39.3099896,-76.616856
58,Project PLASE Baltimore Maryland,"1814 Maryland Avenue Baltimore, Maryland 21201",39.31015015,-76.6180191
59,Grassroots Crisis Intervention Family Shelter Program Columbia Maryland,"6700 Freetown Rd Columbia, Maryland 21044",39.1862844,-76.8789323
60,Randy Sands Men’s Shelter Columbia Maryland,"6700 Freetown Road Columbia, Maryland 21044",39.1862844,-76.8789323
61,Agape House Homeless Services Baltimore Maryland,"1501 North Dukeland Street Baltimore, Maryland 21223",39.30518723,-76.6636581
62,Manna House Baltimore Maryland,"435 E. 25th Street Baltimore, Maryland 21218",39.31795883,-76.6101684
63,Mission Possible Ministries Shelter For Men Baltimore Maryland,"1932 W North Ave Baltimore, Maryland 21203",39.309993,-76.649092
64,Grassroots Crisis Intervention - Men's And Women's Shelter Columbia Maryland,"6700 Freetown Road Columbia, Maryland 21044",39.18845367,-76.8794555
65,"Hyacinth Independent/Transitional Living Home, INC Baltimore Maryland","4605 Asbury Avenue Baltimore, Maryland 21230",39.330534,-76.5604862
66,Marian House Baltimore Maryland,"949 Gorsuch Avenue Baltimore, Maryland 21218",39.32571411,-76.60305786
67,Calvert County Department of Social Services Prince Frederick Maryland,"200 Duke Street Prince Frederick, Maryland 20678",38.54048538,-76.5806884
68,Associated Catholic Charities Prince Frederick Maryland,"P.O. Box 779 Prince Frederick, Maryland 20678",38.54040146,-76.58440399
69,"Project ECHO, Inc. Emergency Shelter and Transitional Housing Prince Frederick Maryland","484 Main St Prince Frederick, Maryland 20678",38.5368911,-76.5802034
70,Muslimat Al Nisaa Baltimore Maryland,"5115 Liberty Heights Ave Baltimore, Maryland 21207",39.33302307,-76.70185089
71,Hands Together Cold Weather Shelter Arlington Washington,"PO Box 266 Arlington, Washington 98223",48.1987114,-122.125145
72,Snohomish County Human Services Everett Washington,"Department 3000 Rockefeller Ave.  M/S 305 Everett, Washington 98201",47.98669815,-122.1999969
73,Cocoon House For Teens Everett Washington,"2929 Pine St Everett, Washington 98201",47.97804642,-122.1920013
74,Everett Gospel Mission Men's Shelter Everett Washington,"3711 Smith Ave Everett, Washington 98201",47.968573,-122.1965
75,Everett Gospel Mission Women and Children's Shelter Everett Washington,"5126 S 2nd Ave Everett, Washington 98203",47.95057,-122.1952
76,Housing Hope Everett Washington,"5830 Evergreen Way Everett, Washington 98203",47.944982,-122.217073
77,Fresh Start Housing of Washington Mukilteo Washington,"10924 Mukilteo Speedway, 230 Mukilteo, Washington 98275",47.89860916,-122.291946
78,Arcadia Shelter Auburn Washington,"702 10th St Ne Auburn, Washington 98002",47.3166619,-122.223575
79,Multi-Service Center & Shelter Federal Way Washington,"1200 S 336th St. Federal Way, Washington 98003",47.30083847,-122.318054
80,Federal Way Day Center Federal Way ,"33505 13th Ave S #D Federal Way, Washington 98093",47.3169696,-122.31666
81,REACH OUT Homeless Winter Shelter Program Kent Washington,"1229 W Smith St Kent, Washington 98032",47.38319,-122.2492
82,Home Program Kent WA Kent Washington,"1229 W Smith St Kent, Washington 98032",47.3832349,-122.249251
83,ARISE Shelter Kent Kent ,"1229 W Smith St Kent, Washington 98032",47.383252,-122.249307
84,MDC - Housing For Homeless Tacoma Washington,"721 South Fawcett  Tacoma, Washington 98402",47.25655746,-122.4431
85,Nativity House Day Shelter Tacoma Washington,"702 S 14th Street Tacoma, Washington 98405",47.249268,-122.446168
86,Tacoma Rescue Mission Tacoma Washington,"425 South Tacoma Way Tacoma, Washington 98402",47.2356946,-122.4391339
87,Access Point 4 Housing Tacoma Washington,"901 South 13th Street Tacoma, Washington 98405",47.2503659,-122.4488431
88,ARISE Shelter  Renton Renton Washington,"314 S 4th St Renton, Washington 98057",47.47835,-122.212348
89,REACH Center of Hope Renton Washington,"1055 S Grady Way, Level P2 Renton, Washington 98057",47.4828776,-122.2170661
90,Family Renewal Shelter Tacoma Washington,"6832 Pacific Avenue Tacoma, Washington  9840",47.1941998,-122.434329
91,Seattle's Union Gospel Mission - Hope Place Shelter Seattle Washington,"3802 South Othello Street Seattle, Washington 98104",47.5373054,-122.28402
92,"Mamma's Hands, House of Hope Preston Washington","P.O. Box 40464 Preston, Washington 98075",47.50735092,-121.909347
93,Compass Housing Alliance’s Jan & Peter’s Place Women’s Shelter  Seattle Washington,"901 Rainier Ave S Seattle, Washington 98144",47.5940196,-122.310641
94,Saint Martin dePorres Shelter Seattle Washington,"1561 Alaskan Way S. Seattle, Washington 98134",47.58966827,-122.337997
95,Salvation Army William Booth Center Seattle Washington,"811 Maynard Ave. S. Seattle, Washington 98134",47.59560394,-122.325202
96,Seattle Indian Center Seattle Washington,"1265 S. Main St. Seattle, Washington 98144",47.59969711,-122.314498
97,Seattle's Union Gospel Mission - Shelter for Men Seattle Washington,"318 - 2nd Avenue Extension South Seattle, Washington 98104",47.59975815,-122.329971
98,"Mamma's Hands, House of Hope Bellevue ","po box 40464 Bellevue, Washington 98015",47.6101497,-122.201515
99,Downtown Emergency Service Center - DESC Seatle Seattle Washington,"515 3rd Ave S Seattle, Washington 98104",47.6002391,-122.330391
100,Bread of Life Mission Seattle Washington,"97 South Main St Seattle, Washington 98194",47.60004044,-122.334297
101,Compass Center - Compass Housing Alliance  Seattle Washington,"77 S Washington St Seattle, Washington 98104",47.60071182,-122.335281
102,King County Men’s Winter Shelter  – 420 4th Avenue (Pets Welcomed) Seattle Washington,"420 4th Avenue Seattle, Washington 98104",47.602483,-122.329248
103,King County Men’s Winter Shelter  - 500 4th Avenue Seattle Washington,"500 4th Avenue Seattle, Washington 98104",47.6030559,-122.329414
104,Seattle City Hall Shelter Seattle Washington,"600 4th Ave Seattle, Washington 98104",47.6038429,-122.3300454
105,Men's Eastside Winter Shelter Bellevue Washington,"515B 116th Ave NE Bellevue, Washington 98004",47.6147186,-122.1878185
106,YWCA Emergency Shelter Seattle Washington,"1118 Fifth Ave. Seattle, Washington 98101",47.60757828,-122.332428
107,Salvation Army Women's Shelter Seattle Washington,"1101 Pike Seattle, Washington 98101",47.61344528,-122.328613
108,Noel House Women's Referral Center Seattle Washington,"2030 3rd Ave Seattle, Washington 98101",47.6132035,-122.34177
109,Mary's Place Seattle Seattle Washington,"1830 9th Ave Seattle, Washington 98101",47.6156893,-122.333976
110,Congregations for the Homeless Eastside Winter Shelter Bellevue Washington,"1899  120th Ave NE Bellevue, Washington 98005",47.62620163,-122.181266
111,Emergency Family Shelter Seattle Washington,"314 Bell Street Seattle, Washington 98121",47.61533,-122.34448
112,Mamma's Hands Fall City Washington,"27701 SE 26th Way Fall City, Washington 98024",47.58516693,-121.9699249
113,Jubilee Women's Center Seattle Washington,"620 18th Avenue East Seattle, Washington 98112",47.6250851,-122.3105234
114,Compass Housing Alliance’s Blaine Center Men’s Shelter Seattle Washington,"154 Denny Way Seattle, Washington 98109",47.6187203,-122.353865
115,Salvation Army Service Extension Department Seattle Washington,"111 Queen Anne Ave N  #300 Seattle, Washington 98019",47.61883926,-122.357002
116,Sacred Heart Shelter Seattle Washington,"232 Warren Ave N. Seattle, Washington 98109",47.62014008,-122.353996
117,Sophia's Place Bellevue Washington,"3032 Bellevue Way NE Bellevue, Washington 98004",47.6383,-122.20107
118,Aloha Inn Seattle Washington,"1911 Aurora Avenue North Seattle, Washington 98109",47.6366018,-122.344203
119,Roots Young Adult Shelter Seattle Washington,"1415 NE 43rd St Seattle, Washington 98105",47.6592443,-122.312355
120,The New Bethlehem Day Center Kirkland Washington,"11920 Ne 80th St, Suite 100 Kirkland, Washington 98033",47.675552,-122.181063
121,Eastside Emergency Shelter - The Sophia Way Kirkland Washington,"701 1st Street Kirkland, Washington 98033",47.68074,-122.20862
122,Welcome Home Society Lake Forest Park Washington,"18403 Ballinger Way Ne Lake Forest Park, Washington 98155",47.76023483,-122.2860107
123,New Way Ministries - Transitional Housing For Women Lynden Washington,"205 S. BC Ave., Suite 117 Lynden, Washington 98264",48.938498,-122.462594
124,Oasis Teen Shelter Bremerton Washington,"822 Burwell St Bremerton, Washington 98337",47.56523895,-122.6311951
125,Prison Mission Association Port Orchard Washington,"1774 South East Vale Road Port Orchard, Washington 98366",47.50844574,-122.6188278
126,Providence Community Care Center Olympia Washington," 225 State Ave. SE Olympia, Washington 98501",47.0456968,-122.901693
127,Drexel House Olympia Washington," 604 Devoe St. SE Olympia, Washington 98501",47.0441884,-122.860402
128,Mid-Point Place Men's Shelter Wenatchee Washington,"1707 Stella Ave Wenatchee, Washington 98801",47.44846344,-120.33638
129,YWCA of Lewiston Lewiston Idaho,"300 Main St Lewiston, Idaho 83501",46.42147064,-117.029266
130,Community Action Center Pullman Washington,"350 S E Fairmont Road Pullman, Washington 99163",46.71020126,-117.1781006
131,Sojourners' Alliance Moscow Idaho,"627 N Van Buren St Moscow, Idaho 83843",46.74007797,-116.995941
132,Sunrise Outreach Center Yakima Washington,"221 E Martin Luther King Jr. Blvd. Yakima, Washington 98901",46.60565567,-120.5049057
133,Salvation Army of Yakima Yakima Washington,"310 N. 16th Ave Yakima, Washington 98902",46.60213089,-120.5305939
134,Rod's House - Drop In Youth Shelter Yakima Washington,"204 S Naches Avenue Yakima, Washington 98901",46.6006012,-120.4990997
135,YWCA Family Crisis Program Yakima Washington,"818 West Yakima Ave Yakima, Washington 98902",46.59844208,-120.5209122
136,Community House on Broadway Longview Washington,"1107 Broadway Longview, Washington 98632",46.13768387,-122.931694
137,Love Overwhelming Emergency Shelter Kelso Washington,"305 Cowlitz Way Kelso, Washington 98626",46.147021,-122.908846
138,Gates of Grace Vancouver Washington,"Box 821201 Vancouver, Washington 98662",45.65471649,-122.5887527
139,Council for the Homeless Vancouver Washington,"2306 NE Andresen Road, Suite A Vancouver, Washington 98661",45.63939285,-122.601341
140,Tri-City Union Gospel Mission Pasco Washington,"112 N. 2nd Avenue Pasco, Washington 99301",46.23148346,-119.088913
141,Benton Franklin Community Action Committee Pasco Washington,"720 W Court Street Pasco, Washington 99301",46.24116135,-119.09832
142,Hood River Warming Shelter Hood River Oregon,"PO Box 656 Hood River, Oregon 97031",45.70539474,-121.5214615
143,Crossroads Housing Shelton Washington,"71 Sargison Loop Shelton, Washington 98584",47.2055843,-123.0987067
144,Mason County Homeless Shelter Shelton Washington,"212 N 1st St. Shelton, Washington 98584",47.21386337,-123.099739
145,Emogene's Emergency Women's Shelter  (YWCA) Wenatchee Washington,"212 5th Street Wenatchee, Washington 98801",47.43049622,-120.3186874
146,Haven Of Hope Women's Shelter Wenatchee Washington,"202 South Franklin Ave Wenatchee, Washington 98801",47.42005539,-120.322403
147,Bruce Housing Program Transitional Housing Wenatchee Washington,"206 Palouse Street Wenatchee, Washington 98801",47.42420959,-120.312767
148,Wenatchee Hospitality House Wenatchee Washington,"1450 So. Wenatchee Avenue Wenatchee, Washington 98807",47.40608978,-120.3000336
149,St. Vincent De Paul Coeur d Alene Idaho,"108 E. Walnut Coeur d Alene, Idaho 83814",47.68803406,-116.785339
150,Children's Village Coeur d Alene Idaho,"1350 West Hanley Coeur d Alene, Idaho 83814",47.7298317,-116.803894
151,"Maggie's Place, The Mary House Coeur d'Alene Idaho","PO Box 3665 Coeur d'Alene, Idaho 83816",47.67020035,-116.779998
152,Women's Center Coeur d Alene Idaho,"850 North 4th Street Coeur d Alene, Idaho 83814",47.68138504,-116.780647
153,Astoria Rescue Mission Astoria Oregon,"62 W. Bond Astoria, Oregon 97103",46.19006729,-123.8438339
154,Serenity House of Clallam County Port Angeles Washington,"2321 W. 18th Port Angeles, Washington 98363",48.12319946,-123.4919968
155,Alternative To Violence Of The Palouse Moscow Idaho,"PO Box 8517 Moscow, Idaho 83843",46.82075119,-117.039581
156,Noah's Ark Wapato Washington,"117 E 2nd St Wapato, Washington 98951",46.44667053,-120.4189301
157,Guadalupe House - Tacoma Catholic Worker Tucson Washington,"1417 South G Street Tucson, Washington 98405",38.8006953,-76.8926753
158,Transition Center at Prince George's House Capitol Heights Maryland,"603 Addison Road South Capitol Heights, Maryland 20743",38.88113022,-76.89685059
159,Community Ministry of PG County Warm Nights Shelter Seat Pleasant Maryland,"311 68th Place Seat Pleasant, Maryland 20743",38.89135361,-76.9041061
160,The Alexander Social Services Corporation Washington Washington DC,"4614 Benning Road, Se # 103 Washington, Washington DC 20019",38.8867836,-76.93582153
161,801 East Men’s Shelter and Housing Washington District Of Col,"2700 Martin Luther King Blvd., SE Washington, District Of Col 20032",38.8494978,-76.9958942
162,Calvary Women's Services Washington Washington DC,"1217 Good Hope Road, SE Washington, Washington DC 20002",38.86720276,-76.98802185
163,DC General Family Shelter Washington Washington DC,"1900 Massachusetts Avenue SE Washington, Washington DC 20003",38.88539124,-76.9726944
164,Sasha Bruce House Washington Washington DC,"741 8th Street, SE Washington, Washington DC 20003",38.88319016,-76.99152374
165,Shepherd's Cove Capitol Heights Maryland,"1400 Doewood Lane Capitol Heights, Maryland 20743",38.91052628,-76.9263305
166,Shepherd's Cove Women's Shelter Capitol Heights Maryland,"1400 Doewood Lane Capitol Heights, Maryland 20743",38.91052628,-76.92633057
167,Hyacinth's Place - Transitional Housing For Women Washington Washington DC,"1060 Bladensburg Rd NE Washington, Washington DC 20002",38.9038761,-76.981144
168,Blair Transitional Rehabilitation Program Washington Washington DC,"635 I Street, Ne Washington, Washington DC 20001",38.90100098,-76.99701691
169,House of Imagene Shelter and Women's Center Washington Washington DC,"1110A 6Th Street, Ne Suite 4 Washington, Washington DC 20002",38.90422058,-76.99877167
170,Washington DC Community For Creative Non Violence Shelter Washington Washington DC,"425 2nd Street Northwest Washington, Washington DC 20001",38.89544678,-77.013237
171,Federal City Shelter Washington DC Washington Washington DC,"425 2nd St., NW Washington, Washington DC 20001",38.89544678,-77.013237
172,Crummel Emergency Shelter for Men Washington Washington DC,"1901 Kendall Street, Ne Washington, Washington DC 20002",38.91303635,-76.98694611
173,Central Union Mission Washington Washington,"65 Massachusetts Ave NW Washington, Washington 20001",38.89863968,-77.0111084
174,Virginia Williams Family Resource Center Washington Washington DC,"920-A Rhode Island Avenue Ne Washington, Washington DC 20018",38.92243576,-76.99310303
175,Rachael's Women's Center - Day Center Washington Washington DC,"1222 11Th Street, Nw Washington, Washington DC 20001",38.90632248,-77.02706146
176,Thrive DC Washington Washington DC,"1525 Newton Street, NW, Suite G1 Washington, Washington DC 20010",38.90674591,-77.02794647
177,Luther Place Night Shelter Washington Washington DC,"N Street Village, 1333 N Street NW Washington, Washington DC 20005",38.90436172,-77.03108215
178,Prince George's County Family Crisis Center Shelter Brentwood Maryland,"3601 Taylor Street Brentwood, Maryland 20722",38.94138718,-76.95896149
179,Mickey Leland House Washington District Of Col,"455 - 457 Florida Avenue, NW Washington, District Of Col 20001",38.9146574,-77.0177991
180,Bethany Women's Center Washington Washington DC,"1333 N Street, NW Washington, Washington DC 20005",38.90725708,-77.03118896
181,The Arlington Homeless Services Unit Residential Program Center Arlington Virginia,"1554 Columbia Pike Arlington, Virginia 22204",38.86650467,-77.07131195
182,Casa Ruby Washington Washington DC,"2822 Georgia Avenue NW Washington, Washington DC 20001",38.92676544,-77.0231857
183,Salvation Army - The Grate Patrol Washington Washington DC,"1434 Harvard Street, Nw Washington, Washington DC 20009",38.92615128,-77.03365326
184,Georgetown Ministry Center  Drop-In Center Washington Washington DC,"1041 Wisconsin Av Nw Washington, Washington DC 20007",38.90366745,-77.06227112
185,Park Road Transitional House - Coalition For The Homeless Washington Washington DC,"1318 Park Road, Nw Washington, Washington DC 20011",38.93077469,-77.0304718
186,Christ House Temporary Residence Washington Washington DC,"1717 Columbia Road, Nw Washington, Washington DC 20009",38.9247551,-77.0397872
187,La Casa Transitional Rehab Program Washington Washington DC,"1131 Spring Road, NW Washington, Washington DC 20010",38.9364357,-77.02915955
188,Arlington Street People's Assistance Network (A-SPAN) Arlington Virginia,"2020-A N 14th St Arlington, Virginia 22206",38.8894372,-77.0832101
189,Bridges to Independence Arlington Arlington Virginia,"3103 9th Road North Arlington, Virginia 22201",38.88373566,-77.0948333
190,Coalition for the Homeless - Webster Transitional House Washington Washington DC,"4326 14Th Street, Nw Washington, Washington DC 20011",38.94384003,-77.03305817
191,"Robert J. Fuller Transitional House Homeless Advocacy Assn., Inc. Waldorf Maryland","3470 Rockefeller Court Waldorf, Maryland 20602",38.61793137,-76.9096069
192,Carpenter's Shelter Alexandria Virginia,"5701-D Duke Street Alexandria, Virginia 22304",38.816644,-77.130617
193,Doorways for Women and Families Arlington Virginia,"4600 Fairfax Dr Arlington, Virginia 22210",38.881072,-77.117104
194,Bailey's Crossroads Community Shelter Falls Church Virginia,"3525 Moncure Avenue Falls Church, Virginia 22041",38.84793472,-77.1333313
195,Community Vision of Interfaith Works Silver Spring Maryland,"8210 Dixon Avenue Silver Spring, Maryland 20910",38.97974014,-77.0046234
196,Shepherd’s Table Silver Spring Maryland,"8106 Georgia Ave Silver Spring, Maryland 20910",38.9908349,-77.027591
197,Homestretch Falls Church Virginia,"303 S Maple Ave Falls Church, Virginia 22406",38.880745,-77.174786
198,Bethesda Cares Day Shelter Bethesda Maryland,"7728 Woodmont Avenue Bethesda, Maryland 20814",38.98743439,-77.0960006
199,Charles County DSS LaPlata Maryland,"200 Kent Avenue LaPlata, Maryland 20646",38.5309906,-76.97441864
200,Charles County Department of Social Services La Plata Maryland," 200 Kent Avenue La Plata, Maryland 20646",38.5309906,-76.97441864
201,Catholic Charities Angel's Watch Shelter Hughesville Maryland,"PO Box 613 Hughesville, Maryland 20637",38.5326217,-76.7838559
202,Dorothy Day Place Women's Shelter Rockville Maryland,"5320 Marinelli Road Rockville, Maryland 20850",39.0472589,-77.106516
203,Stepping Stones Shelter Rockville Maryland,"P.O. Box 712 Rockville, Maryland 20848",39.08000183,-77.1200027
204,The Hilda M. Barg Homeless Prevention Center Woodbridge Virginia,"14945 Jefferson Davis Highway Woodbridge, Virginia 22191",38.62663,-77.275425
205,Interfaith Works Women’s Center Rockville Maryland,"2 Taft Court, Suite 100 Rockville, Maryland 20850",39.09387,-77.13049
206,Avery House Treatment Center For Women Halfway House Rockville Maryland,"14705 Avery Road Rockville, Maryland 20853",39.09885788,-77.12518311
207,Rainbow Place (Women Only) Rockville Maryland,"215 W. Montgomery Avenue Rockville, Maryland 20850",39.0844841,-77.1577606
208,Montgomery County HHS Rockville Maryland,"401 Hungerford Road Suite 500 Rockville, Maryland 20850",39.08879089,-77.15050507
209,Helping Hands Shelter Rockville Maryland,"622 N. Horners Lane Rockville, Maryland 20850",39.0942955,-77.1441268
210,Home Builders Care Assessment Center (HBCAC) Men's Emergency Shelter Rockville Maryland,"600-A East Gude Drive Rockville, Maryland 20850",39.10554886,-77.1448211
211,Chase Partnership Men's Shelter Rockville Maryland,"600 C East Gude Drive  Rockville, Maryland 20850",39.10554886,-77.1448211
212,Safe Havens Rockville Maryland,"600-B East Gude Drive Rockville, Maryland 20850",39.1062725,-77.1451807
213,Veterans Affairs Safe Havens Rockville Maryland,"600-B East Gude Drive Rockville, Maryland 20850",39.1062725,-77.1451807
214,Montgomery County Coalition for the Homeless Rockville Maryland,"600-B East Gude Drive Rockville, Maryland 20850",39.10786057,-77.14217377
215,Elect Ladies Transition Home Woodbridge Virginia,"16342 Boatswain Circle Woodbridge, Virginia 22191",38.59604,-77.28124
216,Bradley Angle House Portland Oregon,"5432 N. Albina Ave Portland, Oregon 97217",45.5624355,-122.67475
217,United States Mission Portland Oregon,"4545 ne garfield ave Portland, Oregon 97211",45.55623245,-122.662933
218,Transition Projects (TPI) Day Center Portland Oregon,"650 NW Irving Street Portland, Oregon 97209",45.5274166,-122.67733
219,Portland Rescue Mission Portland Oregon,"111 W. Burnside St Portland, Oregon 97209",45.52329636,-122.6715622
220,Salvation Army Female Emergency Shelter Portland Oregon,"30 SW 2nd Ave Portland, Oregon 97204",45.5227446,-122.672108
221,SAFES at Fairbridge - Salvation Army Female Emergency Shelter Portland Oregon,"30 SW 2nd Ave Portland, Oregon 97204",45.5227446,-122.6721086
222,VETS (Veterans Emergency Transitional Shelter)  Portland Oregon,"30 SW 2nd Ave. Portland, Oregon 97204",45.52275848,-122.6722946
223,City Team Ministries Portland Oregon,"526 SE Grand Ave. Portland, Oregon 97214",45.51892853,-122.6605835
224,Rose Haven Day Shelter for Women and Children Portland Oregon,"627 NW 18th Avenue Portland, Oregon 97209",45.527625,-122.689673
225,Goose Hollow Family Shelter Portland Oregon,"1838 SW Jefferson Portland, Oregon 97201",45.51758957,-122.6931686
